Rank,CompanyName,WebURL
1,Walmart,https://careers.walmart.com
2,Sinopec,https://careers.sinopec.com
3,State Grid,https://www.sgcc.com.cn
4,China National Petroleum,https://www.cnpc.com.cn
5,Royal Dutch Shell,https://www.shell.com/careers
6,Saudi Aramco,https://www.aramco.com/en/careers
7,BP,https://www.bp.com/en/global/corporate/careers
8,ExxonMobil,https://corporate.exxonmobil.com/careers
9,Chevron,https://www.chevron.com/careers
10,TotalEnergies,https://totalenergies.com/en/careers
11,Volkswagen,https://www.volkswagenag.com/en/careers.html
12,Daimler Truck,https://www.daimlertruck.com/en/company/careers.html
13,BYD Company,https://www.byd.com/en/careers
14,Tencent,https://careers.tencent.com
15,Alibaba,https://talent.alibaba.com
16,Baidu,https://talent.baidu.com
17,JD.com,https://jobs.jd.com
18,Meituan,https://meituanjobs.com
19,ByteDance,https://jobs.bytedance.com
20,Pinduoduo,https://pinjobs.alibaba.com
